SampleID,Kingdom,Phylum,Class,Order,Family,Genus,Species
3e07a894e8499eccaa18e1434bf5f766,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__sputigena
e66927267cefa21425592c945a0a6167,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae_[XI],g__Peptostreptococcaceae_[XI][G-7],s__[XI][G-7]_bacterium_HMT_081
8fdb5cf106f89d9763671ffe36f14c12,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonellaceae_[G-1],s__[G-1]_bacterium_HMT_150
92c5c865bd49b8a5757096be6ce50193,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__nucleatum_subsp._vincentii
fc62b0e6485e4ee51d68fcfd5160ec34,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__sp._HMT_271
2f8016198f3d77103d8a5707e1e72484,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__sputigena
b58bda8b274214060c5cff0a4189bac3,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__oris
0d2cb4c3d713ede3c9d29c6885eef15e,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Tannerella,s__sp._HMT_916
8ddd53104c93c1d713c15603ba683455,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Atopobium,s__unclassified
254c2b5cdf8c0c740d80580dae886096,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__unclassified
2b1797bc59d3f9f80dd9591d1aa8b47f,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonellaceae_[G-1],s__[G-1]_bacterium_HMT_145
750aa3eaca0ed3fea10c39ca403a1b58,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__unclassified
80b8ba31f1af2c3ca93905879fd9b2e0,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__georgiae
dbd56fdac48e743feb571597d4372a22,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__unclassified,s__unclassified
fddb562ced3eb5c9e85b492368c187ae,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__nucleatum_subsp._vincentii
5b111f936380a38cbfc51a1476a61229,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Lachnoanaerobaculum,s__orale
0da7e068df0a1c599ae83843dd93d048,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,s__sp._HMT_223
a9259d9130235dd3bbc20f59835727de,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Alloprevotella,s__sp._HMT_912
c7e02b5da26e1b8726867c4573913b10,k__Bacteria,p__Bacteroidetes,c__Bacteroidetes_[C-1],o__Bacteroidetes_[O-1],f__Bacteroidetes_[F-1],g__Bacteroidetes_[G-3],s__[G-3]_bacterium_HMT_280
